,level_0,index,atilt,code,shifts,range_shift,npeaks
0,0,485,0.364626586437225,485kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,2
1,1,486,0.375642478466034,486kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,2
2,2,487,0.375642478466034,487kuka_stare_decon_Ku-Scat20231003-132908.nc,38,1.58965576171875,2
3,3,488,-0.18616895377636,488kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,2
4,4,489,-0.18616895377636,489kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,2
5,5,490,-0.847123682498932,490kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,3
6,6,491,-0.847123682498932,491kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,3
7,7,492,0.584944903850555,492kuka_stare_decon_Ku-Scat20231003-132908.nc,37,1.5820263671875,2
8,8,493,0.584944903850555,493kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,4
9,9,494,-0.428519070148468,494kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,1
10,10,495,-0.428519070148468,495kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,2
11,11,496,2.08310890197754,496kuka_stare_decon_Ku-Scat20231003-132908.nc,38,1.58965576171875,2
12,12,497,2.08310890197754,497kuka_stare_decon_Ku-Scat20231003-132908.nc,38,1.58965576171875,2
13,13,498,2.08310890197754,498kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,3
14,14,499,0.463769853115082,499kuka_stare_decon_Ku-Scat20231003-132908.nc,41,1.6125439453125,2
15,15,500,0.463769853115082,500kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,2
16,16,517,0.111260607838631,517kuka_stare_decon_Ku-Scat20231003-132908.nc,39,1.59728515625,2
17,17,518,-0.120073363184929,518kuka_stare_decon_Ku-Scat20231003-132908.nc,70,1.83379638671875,1
18,18,519,-0.120073363184929,519kuka_stare_decon_Ku-Scat20231003-132908.nc,38,1.58965576171875,3
19,19,520,-0.120073363184929,520kuka_stare_decon_Ku-Scat20231003-132908.nc,43,1.627802734375,3
20,20,521,0.298531234264374,521kuka_stare_decon_Ku-Scat20231003-132908.nc,44,1.63543212890625,3
21,21,522,0.298531234264374,522kuka_stare_decon_Ku-Scat20231003-132908.nc,44,1.63543212890625,3
22,22,523,-0.891187250614166,523kuka_stare_decon_Ku-Scat20231003-132908.nc,43,1.627802734375,2
23,23,556,-0.00991420727223158,556kuka_stare_decon_Ku-Scat20231003-132908.nc,42,1.62017333984375,1
24,24,557,-0.0319462306797504,557kuka_stare_decon_Ku-Scat20231003-132908.nc,42,1.62017333984375,2
25,25,558,-0.0319462306797504,558kuka_stare_decon_Ku-Scat20231003-132908.nc,45,1.6430615234375,2
