,hh,hv,vv,vh
0,-3.6895751953125,-3.6895751953125,-3.6895751953125,-3.68499755859375
1,-3.68499755859375,-3.68499755859375,-3.68499755859375,-3.680419921875
2,-3.680419921875,-3.680419921875,-3.680419921875,-3.67584228515625
3,-3.67584228515625,-3.67584228515625,-3.67584228515625,-3.6712646484375
4,-3.6712646484375,-3.6712646484375,-3.6712646484375,-3.66668701171875
5,-3.66668701171875,-3.66668701171875,-3.66668701171875,-3.662109375
6,-3.662109375,-3.662109375,-3.662109375,-3.65753173828125
7,-3.65753173828125,-3.65753173828125,-3.65753173828125,-3.6529541015625
8,-3.6529541015625,-3.6529541015625,-3.6529541015625,-3.64837646484375
9,-3.64837646484375,-3.64837646484375,-3.64837646484375,-3.643798828125
10,-3.643798828125,-3.643798828125,-3.643798828125,-3.63922119140625
11,-3.63922119140625,-3.63922119140625,-3.63922119140625,-3.6346435546875
12,-3.6346435546875,-3.6346435546875,-3.6346435546875,-3.63006591796875
13,-3.63006591796875,-3.63006591796875,-3.63006591796875,-3.62548828125
14,-3.62548828125,-3.62548828125,-3.62548828125,-3.62091064453125
15,-3.62091064453125,-3.62091064453125,-3.62091064453125,-3.6163330078125
16,-3.6163330078125,-3.6163330078125,-3.6163330078125,-3.61175537109375
17,-3.61175537109375,-3.61175537109375,-3.61175537109375,-3.607177734375
18,-3.607177734375,-3.607177734375,-3.607177734375,-3.60260009765625
19,-3.60260009765625,-3.60260009765625,-3.60260009765625,-3.5980224609375
20,-3.5980224609375,-3.5980224609375,-3.5980224609375,-3.59344482421875
21,-3.59344482421875,-3.59344482421875,-3.59344482421875,-3.5888671875
22,-3.5888671875,-3.5888671875,-3.5888671875,-3.58428955078125
23,-3.58428955078125,-3.58428955078125,-3.58428955078125,-3.5797119140625
24,-3.5797119140625,-3.5797119140625,-3.5797119140625,-3.57513427734375
25,-3.57513427734375,-3.57513427734375,-3.57513427734375,-3.570556640625
26,-3.570556640625,-3.570556640625,-3.570556640625,-3.56597900390625
27,-3.56597900390625,-3.56597900390625,-3.56597900390625,-3.5614013671875
28,-3.5614013671875,-3.5614013671875,-3.5614013671875,-3.55682373046875
29,-3.55682373046875,-3.55682373046875,-3.55682373046875,-3.55224609375
30,-3.55224609375,-3.55224609375,-3.55224609375,-3.54766845703125
31,-3.54766845703125,-3.54766845703125,-3.54766845703125,-3.5430908203125
32,-3.5430908203125,-3.5430908203125,-3.5430908203125,-3.53851318359375
33,-3.53851318359375,-3.53851318359375,-3.53851318359375,-3.533935546875
34,-3.533935546875,-3.533935546875,-3.533935546875,-3.52935791015625
35,-3.52935791015625,-3.52935791015625,-3.52935791015625,-3.5247802734375
36,-3.5247802734375,-3.5247802734375,-3.5247802734375,-3.52020263671875
37,-3.52020263671875,-3.52020263671875,-3.52020263671875,-3.515625
38,-3.515625,-3.515625,-3.515625,-3.51104736328125
39,-3.51104736328125,-3.51104736328125,-3.51104736328125,-3.5064697265625
40,-3.5064697265625,-3.5064697265625,-3.5064697265625,-3.50189208984375
41,-3.50189208984375,-3.50189208984375,-3.50189208984375,-3.497314453125
42,-3.497314453125,-3.497314453125,-3.497314453125,-3.49273681640625
43,-3.49273681640625,-3.49273681640625,-3.49273681640625,-3.4881591796875
44,-3.4881591796875,-3.4881591796875,-3.4881591796875,-3.48358154296875
45,-3.48358154296875,-3.48358154296875,-3.48358154296875,-3.47900390625
46,-3.47900390625,-3.47900390625,-3.47900390625,-3.47442626953125
47,-3.47442626953125,-3.47442626953125,-3.47442626953125,-3.4698486328125
48,-3.4698486328125,-3.4698486328125,-3.4698486328125,-3.46527099609375
49,-3.46527099609375,-3.46527099609375,-3.46527099609375,-3.460693359375
50,-3.460693359375,-3.460693359375,-3.460693359375,-3.45611572265625
51,-3.45611572265625,-3.45611572265625,-3.45611572265625,-3.4515380859375
52,-3.4515380859375,-3.4515380859375,-3.4515380859375,-3.44696044921875
53,-3.44696044921875,-3.44696044921875,-3.44696044921875,-3.4423828125
54,-3.4423828125,-3.4423828125,-3.4423828125,-3.43780517578125
55,-3.43780517578125,-3.43780517578125,-3.43780517578125,-3.4332275390625
