,hh,hv,vv,vh
0,-3.9520263671875,-3.95965576171875,-3.9520263671875,-3.9520263671875
1,-3.94439697265625,-3.9520263671875,-3.94439697265625,-3.94439697265625
2,-3.936767578125,-3.94439697265625,-3.936767578125,-3.936767578125
3,-3.92913818359375,-3.936767578125,-3.92913818359375,-3.92913818359375
4,-3.9215087890625,-3.92913818359375,-3.9215087890625,-3.9215087890625
5,-3.91387939453125,-3.9215087890625,-3.91387939453125,-3.91387939453125
6,-3.90625,-3.91387939453125,-3.90625,-3.90625
7,-3.89862060546875,-3.90625,-3.89862060546875,-3.89862060546875
8,-3.8909912109375,-3.89862060546875,-3.8909912109375,-3.8909912109375
9,-3.88336181640625,-3.8909912109375,-3.88336181640625,-3.88336181640625
10,-3.875732421875,-3.88336181640625,-3.875732421875,-3.875732421875
11,-3.86810302734375,-3.875732421875,-3.86810302734375,-3.86810302734375
12,-3.8604736328125,-3.86810302734375,-3.8604736328125,-3.8604736328125
13,-3.85284423828125,-3.8604736328125,-3.85284423828125,-3.85284423828125
14,-3.84521484375,-3.85284423828125,-3.84521484375,-3.84521484375
15,-3.83758544921875,-3.84521484375,-3.83758544921875,-3.83758544921875
16,-3.8299560546875,-3.83758544921875,-3.8299560546875,-3.8299560546875
17,-3.82232666015625,-3.8299560546875,-3.82232666015625,-3.82232666015625
18,-3.814697265625,-3.82232666015625,-3.814697265625,-3.814697265625
19,-3.80706787109375,-3.814697265625,-3.80706787109375,-3.80706787109375
20,-3.7994384765625,-3.80706787109375,-3.7994384765625,-3.7994384765625
21,-3.79180908203125,-3.7994384765625,-3.79180908203125,-3.79180908203125
22,-3.7841796875,-3.79180908203125,-3.7841796875,-3.7841796875
23,-3.77655029296875,-3.7841796875,-3.77655029296875,-3.77655029296875
24,-3.7689208984375,-3.77655029296875,-3.7689208984375,-3.7689208984375
25,-3.76129150390625,-3.7689208984375,-3.76129150390625,-3.76129150390625
26,-3.753662109375,-3.76129150390625,-3.753662109375,-3.753662109375
27,-3.74603271484375,-3.753662109375,-3.74603271484375,-3.74603271484375
28,-3.7384033203125,-3.74603271484375,-3.7384033203125,-3.7384033203125
29,-3.73077392578125,-3.7384033203125,-3.73077392578125,-3.73077392578125
30,-3.72314453125,-3.73077392578125,-3.72314453125,-3.72314453125
31,-3.71551513671875,-3.72314453125,-3.71551513671875,-3.71551513671875
32,-3.7078857421875,-3.71551513671875,-3.7078857421875,-3.7078857421875
33,-3.70025634765625,-3.7078857421875,-3.70025634765625,-3.70025634765625
34,-3.692626953125,-3.70025634765625,-3.692626953125,-3.692626953125
35,-3.68499755859375,-3.692626953125,-3.68499755859375,-3.68499755859375
36,-3.6773681640625,-3.68499755859375,-3.6773681640625,-3.6773681640625
37,-3.66973876953125,-3.6773681640625,-3.66973876953125,-3.66973876953125
38,-3.662109375,-3.66973876953125,-3.662109375,-3.662109375
39,-3.65447998046875,-3.662109375,-3.65447998046875,-3.65447998046875
40,-3.6468505859375,-3.65447998046875,-3.6468505859375,-3.6468505859375
41,-3.63922119140625,-3.6468505859375,-3.63922119140625,-3.63922119140625
42,-3.631591796875,-3.63922119140625,-3.631591796875,-3.631591796875
43,-3.62396240234375,-3.631591796875,-3.62396240234375,-3.62396240234375
44,-3.6163330078125,-3.62396240234375,-3.6163330078125,-3.6163330078125
45,-3.60870361328125,-3.6163330078125,-3.60870361328125,-3.60870361328125
46,-3.60107421875,-3.60870361328125,-3.60107421875,-3.60107421875
47,-3.59344482421875,-3.60107421875,-3.59344482421875,-3.59344482421875
48,-3.5858154296875,-3.59344482421875,-3.5858154296875,-3.5858154296875
49,-3.57818603515625,-3.5858154296875,-3.57818603515625,-3.57818603515625
50,-3.570556640625,-3.57818603515625,-3.570556640625,-3.570556640625
51,-3.56292724609375,-3.570556640625,-3.56292724609375,-3.56292724609375
52,-3.5552978515625,-3.56292724609375,-3.5552978515625,-3.5552978515625
53,-3.54766845703125,-3.5552978515625,-3.54766845703125,-3.54766845703125
54,-3.5400390625,-3.54766845703125,-3.5400390625,-3.5400390625
55,-3.53240966796875,-3.5400390625,-3.53240966796875,-3.53240966796875
56,-3.5247802734375,-3.53240966796875,-3.5247802734375,-3.5247802734375
57,-3.51715087890625,-3.5247802734375,-3.51715087890625,-3.51715087890625
58,-3.509521484375,-3.51715087890625,-3.509521484375,-3.509521484375
59,-3.50189208984375,-3.509521484375,-3.50189208984375,-3.50189208984375
60,-3.4942626953125,-3.50189208984375,-3.4942626953125,-3.4942626953125
61,-3.48663330078125,-3.4942626953125,-3.48663330078125,-3.48663330078125
62,-3.47900390625,-3.48663330078125,-3.47900390625,-3.47900390625
63,-3.47137451171875,-3.47900390625,-3.47137451171875,-3.47137451171875
64,-3.4637451171875,-3.47137451171875,-3.4637451171875,-3.4637451171875
65,-3.45611572265625,-3.4637451171875,-3.45611572265625,-3.45611572265625
66,-3.448486328125,-3.45611572265625,-3.448486328125,-3.448486328125
67,-3.44085693359375,-3.448486328125,-3.44085693359375,-3.44085693359375
68,-3.4332275390625,-3.44085693359375,-3.4332275390625,-3.4332275390625
69,-3.42559814453125,-3.4332275390625,-3.42559814453125,-3.42559814453125
70,-3.41796875,-3.42559814453125,-3.41796875,-3.41796875
71,-3.41033935546875,-3.41796875,-3.41033935546875,-3.41033935546875
72,-3.4027099609375,-3.41033935546875,-3.4027099609375,-3.4027099609375
73,-3.39508056640625,-3.4027099609375,-3.39508056640625,-3.39508056640625
74,-3.387451171875,-3.39508056640625,-3.387451171875,-3.387451171875
75,-3.37982177734375,-3.387451171875,-3.37982177734375,-3.37982177734375
76,-3.3721923828125,-3.37982177734375,-3.3721923828125,-3.3721923828125
77,-3.36456298828125,-3.3721923828125,-3.36456298828125,-3.36456298828125
78,-3.35693359375,-3.36456298828125,-3.35693359375,-3.35693359375
79,-3.34930419921875,-3.35693359375,-3.34930419921875,-3.34930419921875
80,-3.3416748046875,-3.34930419921875,-3.3416748046875,-3.3416748046875
81,-3.33404541015625,-3.3416748046875,-3.33404541015625,-3.33404541015625
82,-3.326416015625,-3.33404541015625,-3.326416015625,-3.326416015625
83,-3.31878662109375,-3.326416015625,-3.31878662109375,-3.31878662109375
84,-3.3111572265625,-3.31878662109375,-3.3111572265625,-3.3111572265625
85,-3.30352783203125,-3.3111572265625,-3.30352783203125,-3.30352783203125
86,-3.2958984375,-3.30352783203125,-3.2958984375,-3.2958984375
87,-3.28826904296875,-3.2958984375,-3.28826904296875,-3.28826904296875
88,-3.2806396484375,-3.28826904296875,-3.2806396484375,-3.2806396484375
89,-3.27301025390625,-3.2806396484375,-3.27301025390625,-3.27301025390625
90,-3.265380859375,-3.27301025390625,-3.265380859375,-3.265380859375
91,-3.25775146484375,-3.265380859375,-3.25775146484375,-3.25775146484375
92,-3.2501220703125,-3.25775146484375,-3.2501220703125,-3.2501220703125
93,-3.24249267578125,-3.2501220703125,-3.24249267578125,-3.24249267578125
94,-3.23486328125,-3.24249267578125,-3.23486328125,-3.23486328125
95,-3.22723388671875,-3.23486328125,-3.22723388671875,-3.22723388671875
96,-3.2196044921875,-3.22723388671875,-3.2196044921875,-3.2196044921875
97,-3.21197509765625,-3.2196044921875,-3.21197509765625,-3.21197509765625
98,-3.204345703125,-3.21197509765625,-3.204345703125,-3.204345703125
99,-3.19671630859375,-3.204345703125,-3.19671630859375,-3.19671630859375
100,-3.1890869140625,-3.19671630859375,-3.1890869140625,-3.1890869140625
101,-3.18145751953125,-3.1890869140625,-3.18145751953125,-3.18145751953125
102,-3.173828125,-3.18145751953125,-3.173828125,-3.173828125
103,-3.16619873046875,-3.173828125,-3.16619873046875,-3.16619873046875
104,-3.1585693359375,-3.16619873046875,-3.1585693359375,-3.1585693359375
105,-3.15093994140625,-3.1585693359375,-3.15093994140625,-3.15093994140625
106,-3.143310546875,-3.15093994140625,-3.143310546875,-3.143310546875
107,-3.13568115234375,-3.143310546875,-3.13568115234375,-3.13568115234375
108,-3.1280517578125,-3.13568115234375,-3.1280517578125,-3.1280517578125
109,-3.12042236328125,-3.1280517578125,-3.12042236328125,-3.12042236328125
110,-3.11279296875,-3.12042236328125,-3.11279296875,-3.11279296875
111,-3.10516357421875,-3.11279296875,-3.10516357421875,-3.10516357421875
112,-3.0975341796875,-3.10516357421875,-3.0975341796875,-3.0975341796875
113,-3.08990478515625,-3.0975341796875,-3.08990478515625,-3.08990478515625
114,-3.082275390625,-3.08990478515625,-3.082275390625,-3.082275390625
115,-3.07464599609375,-3.082275390625,-3.07464599609375,-3.07464599609375
116,-3.0670166015625,-3.07464599609375,-3.0670166015625,-3.0670166015625
117,-3.05938720703125,-3.0670166015625,-3.05938720703125,-3.05938720703125
118,-3.0517578125,-3.05938720703125,-3.0517578125,-3.0517578125
119,-3.04412841796875,-3.0517578125,-3.04412841796875,-3.04412841796875
120,-3.0364990234375,-3.04412841796875,-3.0364990234375,-3.0364990234375
121,-3.02886962890625,-3.0364990234375,-3.02886962890625,-3.02886962890625
122,-3.021240234375,-3.02886962890625,-3.021240234375,-3.021240234375
123,-3.01361083984375,-3.021240234375,-3.01361083984375,-3.01361083984375
124,-3.0059814453125,-3.01361083984375,-3.0059814453125,-3.0059814453125
125,-2.99835205078125,-3.0059814453125,-2.99835205078125,-2.99835205078125
126,-2.99072265625,-2.99835205078125,-2.99072265625,-2.99072265625
127,-2.98309326171875,-2.99072265625,-2.98309326171875,-2.98309326171875
128,-2.9754638671875,-2.98309326171875,-2.9754638671875,-2.9754638671875
129,-2.96783447265625,-2.9754638671875,-2.96783447265625,-2.96783447265625
130,-2.960205078125,-2.96783447265625,-2.960205078125,-2.960205078125
131,-2.95257568359375,-2.960205078125,-2.95257568359375,-2.95257568359375
132,-2.9449462890625,-2.95257568359375,-2.9449462890625,-2.9449462890625
133,-2.93731689453125,-2.9449462890625,-2.93731689453125,-2.93731689453125
134,-2.9296875,-2.93731689453125,-2.9296875,-2.9296875
135,-2.92205810546875,-2.9296875,-2.92205810546875,-2.92205810546875
136,-2.9144287109375,-2.92205810546875,-2.9144287109375,-2.9144287109375
137,-2.90679931640625,-2.9144287109375,-2.90679931640625,-2.90679931640625
138,-2.899169921875,-2.90679931640625,-2.899169921875,-2.899169921875
139,-2.89154052734375,-2.899169921875,-2.89154052734375,-2.89154052734375
140,-2.8839111328125,-2.89154052734375,-2.8839111328125,-2.8839111328125
141,-2.87628173828125,-2.8839111328125,-2.87628173828125,-2.87628173828125
142,-2.86865234375,-2.87628173828125,-2.86865234375,-2.86865234375
143,-2.86102294921875,-2.86865234375,-2.86102294921875,-2.86102294921875
144,-2.8533935546875,-2.86102294921875,-2.8533935546875,-2.8533935546875
145,-2.84576416015625,-2.8533935546875,-2.84576416015625,-2.84576416015625
146,-2.838134765625,-2.84576416015625,-2.838134765625,-2.838134765625
147,-2.83050537109375,-2.838134765625,-2.83050537109375,-2.83050537109375
148,-2.8228759765625,-2.83050537109375,-2.8228759765625,-2.8228759765625
149,-2.81524658203125,-2.8228759765625,-2.81524658203125,-2.81524658203125
150,-2.8076171875,-2.81524658203125,-2.8076171875,-2.8076171875
151,-2.79998779296875,-2.8076171875,-2.79998779296875,-2.79998779296875
152,-2.7923583984375,-2.79998779296875,-2.7923583984375,-2.7923583984375
153,-2.78472900390625,-2.7923583984375,-2.78472900390625,-2.78472900390625
154,-2.777099609375,-2.78472900390625,-2.777099609375,-2.777099609375
155,-2.76947021484375,-2.777099609375,-2.76947021484375,-2.76947021484375
156,-2.7618408203125,-2.76947021484375,-2.7618408203125,-2.7618408203125
157,-2.75421142578125,-2.7618408203125,-2.75421142578125,-2.75421142578125
158,-2.74658203125,-2.75421142578125,-2.74658203125,-2.74658203125
159,-2.73895263671875,-2.74658203125,-2.73895263671875,-2.73895263671875
160,-2.7313232421875,-2.73895263671875,-2.7313232421875,-2.7313232421875
161,-2.72369384765625,-2.7313232421875,-2.72369384765625,-2.72369384765625
162,-2.716064453125,-2.72369384765625,-2.716064453125,-2.716064453125
163,-2.70843505859375,-2.716064453125,-2.70843505859375,-2.70843505859375
164,-2.7008056640625,-2.70843505859375,-2.7008056640625,-2.7008056640625
165,-2.69317626953125,-2.7008056640625,-2.69317626953125,-2.69317626953125
166,-2.685546875,-2.69317626953125,-2.685546875,-2.685546875
167,-2.67791748046875,-2.685546875,-2.67791748046875,-2.67791748046875
168,-2.6702880859375,-2.67791748046875,-2.6702880859375,-2.6702880859375
169,-2.66265869140625,-2.6702880859375,-2.66265869140625,-2.66265869140625
170,-2.655029296875,-2.66265869140625,-2.655029296875,-2.655029296875
171,-2.64739990234375,-2.655029296875,-2.64739990234375,-2.64739990234375
172,-2.6397705078125,-2.64739990234375,-2.6397705078125,-2.6397705078125
173,-2.63214111328125,-2.6397705078125,-2.63214111328125,-2.63214111328125
174,-2.62451171875,-2.63214111328125,-2.62451171875,-2.62451171875
175,-2.61688232421875,-2.62451171875,-2.61688232421875,-2.61688232421875
176,-2.6092529296875,-2.61688232421875,-2.6092529296875,-2.6092529296875
177,-2.60162353515625,-2.6092529296875,-2.60162353515625,-2.60162353515625
178,-2.593994140625,-2.60162353515625,-2.593994140625,-2.593994140625
179,-2.58636474609375,-2.593994140625,-2.58636474609375,-2.58636474609375
180,-2.5787353515625,-2.58636474609375,-2.5787353515625,-2.5787353515625
181,-2.57110595703125,-2.5787353515625,-2.57110595703125,-2.57110595703125
182,-2.5634765625,-2.57110595703125,-2.5634765625,-2.5634765625
183,-2.55584716796875,-2.5634765625,-2.55584716796875,-2.55584716796875
184,-2.5482177734375,-2.55584716796875,-2.5482177734375,-2.5482177734375
185,-2.54058837890625,-2.5482177734375,-2.54058837890625,-2.54058837890625
186,-2.532958984375,-2.54058837890625,-2.532958984375,-2.532958984375
187,-2.52532958984375,-2.532958984375,-2.52532958984375,-2.52532958984375
188,-2.5177001953125,-2.52532958984375,-2.5177001953125,-2.5177001953125
189,-2.51007080078125,-2.5177001953125,-2.51007080078125,-2.51007080078125
190,-2.50244140625,-2.51007080078125,-2.50244140625,-2.50244140625
191,-2.49481201171875,-2.50244140625,-2.49481201171875,-2.49481201171875
192,-2.4871826171875,-2.49481201171875,-2.4871826171875,-2.4871826171875
193,-2.47955322265625,-2.4871826171875,-2.47955322265625,-2.47955322265625
