,hh,vv,hv,vh
0,0.020815806152258032,0.02373127589695444,0.0235309831709464,0.023538460224555153
1,0.013964646931732588,0.020853897187504113,0.020680791684540848,0.02068778646369724
2,0.006866196658111218,0.013988670719935975,0.013877448753616784,0.013883128416489884
3,0.0022433435459919262,0.006875925703944771,0.00682303154484976,0.006826938460953204
4,0.00037685677805650135,0.0022446107419950207,0.00222557573063689,0.0022277672728696018
5,3.065624842365827e-05,0.00037615332095750585,0.0003721446451337678,0.0003731089031496299
6,5.969602773408542e-05,3.119276731074306e-05,3.6141237309709086e-05,3.648866775132427e-05
7,5.297769409487553e-05,6.133691109896057e-05,7.260056931180795e-05,7.274652416428949e-05
8,2.3175514456044524e-05,5.451472110556935e-05,6.671640108114378e-05,6.679861946415016e-05
9,1.1083489612264433e-05,2.4094155227480606e-05,3.228060102410298e-05,3.2303837744782784e-05
10,6.0024938127043025e-06,1.1632253599464008e-05,1.4976208347395968e-05,1.4955754621097963e-05
11,1.056866145086038e-06,6.439272617757451e-06,6.96579797670316e-06,6.936331890439252e-06
12,1.1878998418949429e-06,1.3031252582977492e-06,1.0647355499178572e-06,1.0426437313223809e-06
13,5.2161459968829974e-06,1.0787240686300597e-06,1.2559999065206648e-06,1.2555069444496393e-06
14,8.033624424551554e-06,4.772393134342096e-06,5.800908918858491e-06,5.8598224520553095e-06
15,8.223146730568914e-06,7.438656261238525e-06,8.94805052362562e-06,9.096627626395463e-06
16,6.832367149552359e-06,7.676469784798303e-06,8.858213266570969e-06,9.07294846559475e-06
17,5.180126764168932e-06,6.4443700725855195e-06,6.941046405981709e-06,7.153654031380665e-06
18,4.75760134603168e-06,4.893184135122169e-06,5.065702390722263e-06,5.21405840233545e-06
19,5.917359722685232e-06,4.356842899383317e-06,4.633782814597287e-06,4.697072306339791e-06
20,7.112270675349007e-06,5.2241552581232585e-06,5.599348706318883e-06,5.598827203504646e-06
21,6.743521663792447e-06,6.188646874218647e-06,6.475563889839268e-06,6.455947093501073e-06
22,4.949516536373939e-06,5.831273140530838e-06,6.039103960574704e-06,6.04038432916184e-06
23,3.0983270559396933e-06,4.213476628303357e-06,4.44101466621907e-06,4.47169614062243e-06
24,2.178410742971187e-06,2.5158372075665868e-06,2.7051583197631704e-06,2.740525300402991e-06
25,1.9984040521007703e-06,1.6751849784543379e-06,1.7337498674364881e-06,1.7472318509005742e-06
26,1.7578099930019728e-06,1.585915647676349e-06,1.6465898586700296e-06,1.6435887145653553e-06
27,1.1169425148025916e-06,1.4977073801855317e-06,1.8079736831454104e-06,1.8230861172731811e-06
28,4.384237452070858e-07,1.0195162728295363e-06,1.5850407382865454e-06,1.6444326060443288e-06
29,1.032277785383207e-07,4.4465956430250455e-07,9.818117305281518e-07,1.0738331563679687e-06
30,5.4882519038108546e-08,1.3967146353806227e-07,4.060879326213232e-07,4.92367725422946e-07
31,6.328389517652679e-08,7.904759970995724e-08,9.744019255097487e-08,1.480611163716252e-07
32,4.830919658165002e-08,6.893359786935321e-08,5.282234355215934e-09,1.7875195006277923e-08
33,6.188759772793368e-08,4.454399560319382e-08,1.972263277741187e-08,9.578539852965822e-09
34,2.1472861594227738e-07,5.0788963392091224e-08,1.1571713339966926e-07,9.776144070944317e-08
35,6.736423574535237e-07,1.8427464340349058e-07,3.451430897319713e-07,3.207614524936765e-07
36,1.5359181719800353e-06,5.873631554941988e-07,7.923066065243379e-07,7.27516479981905e-07
37,2.6155712222583895e-06,1.2973540765503596e-06,1.5029551165165686e-06,1.2990125230010639e-06
38,3.4372917363067434e-06,2.058627999376589e-06,2.3742462727229462e-06,1.8784936830951575e-06
39,3.5493877163180945e-06,2.4227071038732958e-06,3.096606472183944e-06,2.1941412851921905e-06
40,2.892315614409299e-06,2.12606228549348e-06,3.287323519615159e-06,2.0241913673518195e-06
41,1.8542384058270094e-06,1.3578539983407228e-06,2.7857473751520364e-06,1.407482562992923e-06
42,9.59589673959905e-07,6.226555435312488e-07,1.8298204005023182e-06,6.791192020067005e-07
43,5.245036648967001e-07,3.353921200639206e-07,9.01966343769486e-07,2.4669302019902923e-07
44,5.923486708166723e-07,5.526972532144633e-07,4.054731925745173e-07,3.1718836937529934e-07
