,hh,vv,hv,vh
0,0.043769085636701385,0.043737966408345014,0.04378816433624398,0.04375784383125543
1,0.03846055318583802,0.03843618346895233,0.03847805119701931,0.03845476197297889
2,0.025873877821163026,0.025863877029027992,0.025887433188304842,0.02587899893887814
3,0.012973736682837378,0.012974611919481138,0.012982702832138215,0.012985193512916184
4,0.004630933419268795,0.0046341251182800075,0.004636029400953803,0.004640275250158287
5,0.001126031617213286,0.0011266523732651901,0.0011284367728717536,0.001129381534466074
6,0.00019443299474245803,0.0001932258642947158,0.0001952372006388062,0.0001939650222543567
7,1.2964244991270279e-05,1.2265065524817258e-05,1.3073827596650185e-05,1.2342849648723653e-05
8,4.0479789163648346e-05,4.104392848618765e-05,4.056931600013228e-05,4.128378757574321e-05
9,0.00020711100021197017,0.00020856222079227533,0.00020749068901816268,0.00020918294142439534
10,0.0003392120937858296,0.0003413474792913485,0.0003398206243805316,0.00034217520358509074
11,0.0003010025880494135,0.00030369162937952514,0.00030160456846940867,0.0003044613458186
12,0.0001595425197987535,0.00016220154715248792,0.00015995158135450027,0.00016273702137800588
13,4.7524536288849986e-05,4.948972080565455e-05,4.7695510035349224e-05,4.9750698074256735e-05
14,8.936988191389324e-06,1.0170717260897385e-05,8.940203555724986e-06,1.0246043623424986e-05
15,1.5450396080444836e-05,1.6510687797269764e-05,1.539735858819999e-05,1.6563882256059825e-05
16,3.565373704994266e-05,3.704170892242479e-05,3.56177728326711e-05,3.719595017708981e-05
17,5.1453416271981515e-05,5.316480021599764e-05,5.143034617527028e-05,5.3408509346505166e-05
18,5.1920146471833215e-05,5.3557665048996555e-05,5.186035829985822e-05,5.3774385764774065e-05
19,3.758609141166559e-05,3.875724227763538e-05,3.7462575665507425e-05,3.8851693188180174e-05
20,1.952595122076865e-05,2.013005648774174e-05,1.9366483830307044e-05,2.0111656068021894e-05
21,7.340865270850572e-06,7.564946161913852e-06,7.200762456925758e-06,7.513700850442032e-06
22,2.3409433399629952e-06,2.44944064696887e-06,2.2570142841467716e-06,2.429031324301728e-06
23,1.3323446400608056e-06,1.4822876354103147e-06,1.3037112118791825e-06,1.4993192141827442e-06
24,1.8520634095609507e-06,2.085044789628105e-06,1.8534562305539303e-06,2.1113860173537762e-06
25,3.4009953802646977e-06,3.7593681019705847e-06,3.405192961759202e-06,3.767772619076106e-06
26,6.639374249614868e-06,7.245954597828795e-06,6.631287739638326e-06,7.2246181939513625e-06
27,1.2543135408732206e-05,1.3523111259518452e-05,1.2525182913499457e-05,1.347509614972461e-05
28,2.0801008185887704e-05,2.2067354979479043e-05,2.0788580559029204e-05,2.200602085925372e-05
29,2.7221282771193487e-05,2.8363347046327375e-05,2.722227186118491e-05,2.8303931183684302e-05
30,2.457311650773279e-05,2.513989958260483e-05,2.4568065527448057e-05,2.509473263070004e-05
31,1.3803624809988734e-05,1.3843583438471404e-05,1.376367199167218e-05,1.3833167927145203e-05
32,2.236782694802199e-05,2.2531688627988167e-05,2.2306322081683602e-05,2.2598150299427946e-05
33,0.00010691097750786514,0.00010767374551808152,0.00010689959742633537,0.00010786565556676565
34,0.00031660592856474535,0.00031727891836658216,0.0003167106908795182,0.0003176144908354347
35,0.0006319268251655478,0.0006307254581097129,0.0006321275834298072,0.0006311849488769841
36,0.0009393076997558111,0.0009347664240208122,0.0009395023355712785,0.0009353288568994741
37,0.001088948257712483,0.0010814301609042298,0.0010890420904910974,0.0010820944197064968
38,0.001001993123895918,0.000993804018565941,0.0010019718621238677,0.0009945480458746349
39,0.0007307824796082323,0.0007247303162254982,0.000730699095907399,0.0007254623901960987
40,0.00041451796164892536,0.0004121251458500965,0.00041443035629778183,0.00041271250901426214
41,0.00017559562147297474,0.00017632339489004857,0.00017552917234052104,0.00017668468230166542
42,5.20739179184685e-05,5.403930327846192e-05,5.2028642802708276e-05,5.41989944086246e-05
43,1.0636988966513669e-05,1.221042450702843e-05,1.0605251250760371e-05,1.225905678337777e-05
44,2.8981369393340534e-06,3.903855681753976e-06,2.8651415271382153e-06,3.913962706365842e-06
45,4.037241776308588e-06,5.543130641367648e-06,3.9742970121361326e-06,5.5229685560129445e-06
46,1.1532002902991635e-05,1.445768321181273e-05,1.140713659815872e-05,1.4372881369165833e-05
47,2.5268990752027873e-05,2.921366979292409e-05,2.507507193254532e-05,2.904719915998491e-05
48,3.7469392860263225e-05,4.090581833620601e-05,3.723907354341391e-05,4.0700783949766594e-05
49,3.924967434283294e-05,4.073262229805746e-05,3.903280852664096e-05,4.057558834755107e-05
50,3.0469486598315124e-05,2.955770036373291e-05,3.029153504303138e-05,2.9512439839184437e-05
51,1.9485523360569957e-05,1.6717949928097648e-05,1.9331769173357055e-05,1.6772914477242698e-05
52,1.4083450421258807e-05,1.0484045219036047e-05,1.3925376339522755e-05,1.0566896657572629e-05
53,1.492651259657818e-05,1.1634522981894337e-05,1.4757323030253238e-05,1.1675596298536921e-05
54,1.766919904455947e-05,1.5646193563461347e-05,1.750855642042735e-05,1.5624958691762164e-05
55,1.872774102053436e-05,1.8344169216847192e-05,1.8597043174982183e-05,1.828275887945257e-05
56,1.746277368885521e-05,1.825946972122811e-05,1.736506875890554e-05,1.818742134809327e-05
57,1.4482189376452763e-05,1.5514404565789836e-05,1.440698693031748e-05,1.5446341918299318e-05
58,1.029449547467586e-05,1.0850292439373718e-05,1.0234029940613549e-05,1.0789404704425812e-05
59,5.748034033724997e-06,5.767912639174912e-06,5.703089533637856e-06,5.719216094854524e-06
60,2.2125609330305714e-06,2.0864759101286253e-06,2.1854061873577316e-06,2.0616639917729917e-06
61,5.671270036568341e-07,6.486142048590882e-07,5.546055093973445e-07,6.588137463975288e-07
62,4.792234668352709e-07,8.220744000472378e-07,4.7389779057280027e-07,8.676823343462994e-07
63,9.69154976563519e-07,1.4174056580506184e-06,9.644758592108104e-07,1.4859712415214034e-06
64,1.3492553008950968e-06,1.751670158543123e-06,1.3423733337444932e-06,1.82570834058669e-06
65,1.4761503068094428e-06,1.7919771610815667e-06,1.4673214625477303e-06,1.8583714334831072e-06
66,1.442493670077162e-06,1.7103182871108947e-06,1.4333698521688124e-06,1.763090349627283e-06
67,1.2930379897909191e-06,1.5624718735826272e-06,1.285478629899338e-06,1.5998558050212525e-06
68,9.74052470642518e-07,1.263126507914209e-06,9.700527848196014e-07,1.285346843198424e-06
69,5.164147223849272e-07,7.782245335455805e-07,5.190357235760829e-07,7.883771225957318e-07
70,3.7608048923633637e-07,4.6406509551280015e-07,3.898097409876431e-07,4.68922363660234e-07
71,1.5236731029320911e-06,1.2092248306780722e-06,1.5525235874347196e-06,1.2172930305821152e-06
72,4.812560794978945e-06,3.905347772047897e-06,4.857294680509973e-06,3.923467674178638e-06
73,9.887090552076885e-06,8.399637222943025e-06,9.945050458288691e-06,8.43077101156849e-06
74,1.4723806456070734e-05,1.2930999919537727e-05,1.4791225183241705e-05,1.2973850162890129e-05
75,1.665910548304001e-05,1.4968324006709246e-05,1.6731335416811682e-05,1.5017643657949575e-05
76,1.4372515300614325e-05,1.3099912990444491e-05,1.444109967219998e-05,1.3147219800106502e-05
77,9.093490610097328e-06,8.333096690470619e-06,9.146412450804567e-06,8.36928867648372e-06
78,3.738311742069914e-06,3.3984684524386013e-06,3.7675140387119094e-06,3.4185772958615825e-06
79,6.413530186306844e-07,5.544417626351122e-07,6.500921704343713e-07,5.607185602653083e-07
80,2.416707311389729e-08,2.6421087120843888e-08,2.38784783184817e-08,2.5589475801034665e-08
81,5.553115851117168e-07,5.481100583389345e-07,5.544904315125363e-07,5.448734169485823e-07
82,1.0825129025861674e-06,1.1006976095306441e-06,1.0806804993490557e-06,1.0945487537087548e-06
83,1.5286162070649245e-06,1.73069233487495e-06,1.5211006207910774e-06,1.7189446137422515e-06
84,2.2426533249130946e-06,2.7435996929965538e-06,2.228066856647133e-06,2.7259220732928938e-06
85,3.013467659484787e-06,3.6888866661959277e-06,2.9949782712617672e-06,3.6682018108964127e-06
86,3.1173098224389054e-06,3.630732755672186e-06,3.09907893770923e-06,3.611180312185185e-06
87,2.230151173526984e-06,2.325140006703932e-06,2.215124953877849e-06,2.310421903388787e-06
88,9.310602724418894e-07,7.027353718916241e-07,9.214293924848406e-07,6.95432949456369e-07
89,1.6252404458322203e-07,6.518140490878529e-09,1.5990421415161512e-07,7.211708123692143e-09
90,3.487353131972991e-07,6.277504796489793e-07,3.531111242195483e-07,6.344091960843492e-07
91,1.1547003394054867e-06,1.9184547049369484e-06,1.164096433228854e-06,1.927473559504405e-06
92,1.9577770348636556e-06,2.967909008630752e-06,1.9696393845568537e-06,2.9763064263335082e-06
93,2.3519603424800106e-06,3.331720949886397e-06,2.3647628751624845e-06,3.338385037475221e-06
94,2.2474581494982843e-06,3.081692667362178e-06,2.261014001661234e-06,3.086575192790546e-06
95,1.7524869273465812e-06,2.475752387110642e-06,1.7673578970587848e-06,2.4782067613865e-06
96,1.1333092589936024e-06,1.7821706984867992e-06,1.150477907322928e-06,1.780672223619873e-06
97,7.94901776172363e-07,1.30511578494941e-06,8.155641581494856e-07,1.2992704902349147e-06
98,1.0763041362197258e-06,1.3163679373675937e-06,1.1006238312571027e-06,1.3093964379165913e-06
99,1.9372772592330017e-06,1.8224696810725873e-06,1.962379052904733e-06,1.8210261450483257e-06
100,2.8833467375785506e-06,2.455774286413544e-06,2.903101856969159e-06,2.466161532825467e-06
101,3.3080458596193106e-06,2.7234748068479623e-06,3.3165324770451124e-06,2.747247912265033e-06
102,2.9795325908618152e-06,2.4286596317187993e-06,2.976055744013503e-06,2.4616894721110926e-06
103,2.2026402121578747e-06,1.828637646602039e-06,2.193493765326347e-06,1.8643145292016245e-06
104,1.5084206227732071e-06,1.359636646821199e-06,1.5031197547062967e-06,1.392922717162247e-06
105,1.2069826810878678e-06,1.2345014773157387e-06,1.2120994636861395e-06,1.2634611648659163e-06
106,1.2318420712925434e-06,1.3287589134077418e-06,1.24772242466307e-06,1.3534239937597178e-06
107,1.3371098618390073e-06,1.4002712295638125e-06,1.3594597391067368e-06,1.421030173114414e-06
108,1.3592608497821926e-06,1.3359902184851084e-06,1.3830192734133045e-06,1.353057445743997e-06
