,hh,vv,hv,vh
0,0.020235780373848218,0.023049955450097265,0.023019271469223224,0.023034154500067985
1,0.01356457466029635,0.02025177259464435,0.02022478919149399,0.020238046448935784
2,0.006653721951846943,0.01357502926882262,0.013556870869290819,0.01356618323509098
3,0.002160107233801431,0.006658659299615949,0.006649612445673758,0.006654711190559751
4,0.0003597709306776213,0.0021618133909277358,0.0021586173919517443,0.002160874953957951
5,4.197667598376979e-05,0.00036056729532876,0.00035963656688612104,0.0003607225177990892
6,8.048941155683037e-05,4.2847812065270285e-05,4.234251464087028e-05,4.3177816079512686e-05
7,7.160148145190915e-05,8.130363436195586e-05,8.09917466208799e-05,8.167128950090826e-05
8,3.409615796120256e-05,7.203310015949137e-05,7.212825766366495e-05,7.248225728743853e-05
9,1.5275857459732322e-05,3.4147081059477446e-05,3.457049545545773e-05,3.461421512904903e-05
10,6.841679032424381e-06,1.5165437623572788e-05,1.5591720303582798e-05,1.5513056313795944e-05
11,8.075483014950013e-07,6.7331763405882766e-06,6.9405109680710185e-06,6.877498159722157e-06
12,1.2180293927198036e-06,7.583420454477425e-07,7.870229498283227e-07,7.616286518220169e-07
13,6.598414061839778e-06,1.2812610251736834e-06,1.3036078096027744e-06,1.3269172024960935e-06
14,1.0771103535146333e-05,6.8363721739317626e-06,6.9484137888406885e-06,7.074547688463635e-06
15,1.1214657337643893e-05,1.117047526985322e-05,1.1325423681075044e-05,1.1582403439960127e-05
16,9.18996587039191e-06,1.1671878873179722e-05,1.1774995652943871e-05,1.2108868582460223e-05
17,6.897961265247117e-06,9.60271011797502e-06,9.620940220601878e-06,9.938853668969419e-06
18,6.08727235347132e-06,7.230067022715716e-06,7.197346732897508e-06,7.438107903448974e-06
19,6.893396001146011e-06,6.343319079792065e-06,6.289043749360944e-06,6.442471778251311e-06
20,7.827694120386844e-06,7.083226215011002e-06,6.990222474801538e-06,7.079290630672473e-06
21,7.461769184751376e-06,7.975300388675811e-06,7.8129634360041e-06,7.875678754879604e-06
22,5.699036082760241e-06,7.607656997939825e-06,7.386110166596077e-06,7.456609870888608e-06
23,3.542684164735509e-06,5.862053673619152e-06,5.6385982889854934e-06,5.7249043560542535e-06
24,2.1202654900595932e-06,3.696456849695018e-06,3.5328508264755597e-06,3.613523543524171e-06
25,1.7662085182469763e-06,2.230102571091675e-06,2.1494766000501665e-06,2.201091940209666e-06
26,1.8627453299720683e-06,1.839842353787639e-06,1.8177155000451438e-06,1.8468141438993048e-06
27,1.662628554382463e-06,1.9444592231145046e-06,1.9320576692210127e-06,1.9743042637720678e-06
28,1.0766183860684665e-06,1.7790041564859024e-06,1.7391628475442335e-06,1.823370236773096e-06
29,4.935236320612263e-07,1.2048499169502258e-06,1.1359210288722608e-06,1.2518542293371203e-06
30,1.63789461648233e-07,5.882546152045656e-07,5.1751369536411e-07,6.237897205444669e-07
31,3.7887601025720026e-08,2.0426695359112682e-07,1.5849772157894508e-07,2.2080074478672978e-07
32,4.129948891897556e-09,4.196524839234911e-08,2.6529534881656197e-08,4.35815807947032e-08
33,5.231818043811427e-08,4.497717684540458e-09,9.122490108592401e-09,4.4547614339183285e-09
34,2.6872965321758906e-07,6.692193815970182e-08,8.5016900688413e-08,8.133960345270996e-08
35,7.804199762918109e-07,2.7941213435975257e-07,3.2653362637595623e-07,3.1979408913760653e-07
36,1.6568631996792662e-06,7.080000545113552e-07,8.460847720078164e-07,7.736118335441122e-07
37,2.759368617020318e-06,1.3449810241979766e-06,1.7052321411574764e-06,1.4193988493131018e-06
38,3.6735513715959086e-06,2.020564288777703e-06,2.7749844533954525e-06,2.0785262017923893e-06
39,3.903428355344234e-06,2.4183303039590638e-06,3.6661672313584275e-06,2.441375562273601e-06
40,3.2555456251918947e-06,2.2674041265893757e-06,3.903320751955466e-06,2.2558670756777864e-06
41,2.0486562332143543e-06,1.5944832578595166e-06,3.2888917061564666e-06,1.5645378410045689e-06
42,9.101094481034598e-07,7.738133701600136e-07,2.1142866444136626e-06,7.432088202186863e-07
43,3.6673167163318543e-07,2.806331368099432e-07,9.776911304626369e-07,2.579568409254293e-07
44,6.076689020150585e-07,3.785714932808261e-07,3.956891790216973e-07,3.6505741723902694e-07
45,1.5153526023227966e-06,1.0216139940238364e-06,5.696451268509357e-07,1.0205683140474369e-06
