,hh,vv,hv,vh
0,0.04001985710541339,0.040026820836969915,0.04004256784082756,0.0400098832009131
1,0.035140085203338015,0.03514927466978536,0.03516165261037492,0.0351351616331707
2,0.02359567963273379,0.02360792772763707,0.023614065773271,0.023600700456889778
3,0.011818051137370608,0.01182858040734397,0.011831890897792833,0.011828539091518021
4,0.004252147986972666,0.00425649988806353,0.004261007756011063,0.004260467210282501
5,0.001087233236007731,0.0010864347661090307,0.001091678584876595,0.0010903327678396188
6,0.0002196036429420998,0.00021790819656890512,0.0002210263323564966,0.0002196119730905794
7,1.8052804782124428e-05,1.7611064072892755e-05,1.8199287658297837e-05,1.7760825174306227e-05
8,3.2002645542062245e-05,3.188521080624061e-05,3.2304434571781536e-05,3.228752957986391e-05
9,0.0001945958113085462,0.00019395008925864572,0.00019563750478589193,0.00019548354286246878
10,0.0003176742289896011,0.000317433779772399,0.0003191616177492861,0.0003194851257884781
11,0.00026947185071597664,0.00027072773738587915,0.00027073268657813526,0.00027221636764422895
12,0.00012929424557618082,0.00013158480202403992,0.00012990060737112086,0.00013206977525137903
13,3.088625515460986e-05,3.281579654661007e-05,3.0897467593209574e-05,3.260878285565681e-05
14,7.89837230607616e-06,8.7045585582823e-06,7.636037968371314e-06,8.305569850786356e-06
15,2.3844451162839036e-05,2.380167217759039e-05,2.35690845613816e-05,2.350848625845442e-05
16,4.8043639785244566e-05,4.772670201769036e-05,4.7868502612106025e-05,4.767175317607583e-05
17,6.606188862649727e-05,6.571719323800808e-05,6.603751367132755e-05,6.597869530254854e-05
18,6.719042572248507e-05,6.675580573480188e-05,6.73206831074613e-05,6.729794349025987e-05
19,5.0571289838943564e-05,4.998885534677628e-05,5.0751899510080945e-05,5.059036925207572e-05
20,2.845429973386316e-05,2.7847239497804743e-05,2.8508628000655868e-05,2.8220218842244535e-05
21,1.3304262511525008e-05,1.2909738954782196e-05,1.3136496242550715e-05,1.2918442732215386e-05
22,7.4656484225837936e-06,7.4467782092423815e-06,7.1499500346486154e-06,7.1898379529623215e-06
23,6.473322253317732e-06,6.7994674695370065e-06,6.175134582496761e-06,6.4926801778089835e-06
24,6.584099527323136e-06,7.0835737457832965e-06,6.42130820019463e-06,6.894424568925877e-06
25,7.278715120147753e-06,7.807015682186366e-06,7.26921204780982e-06,7.789735936631208e-06
26,9.719491849244663e-06,1.0291657289676656e-05,9.824445576246677e-06,1.042359753762611e-05
27,1.5089719595625807e-05,1.5842287568263698e-05,1.525934600209072e-05,1.6072749378708912e-05
28,2.3271257583635202e-05,2.424025345083049e-05,2.3436114637625792e-05,2.4500020979143992e-05
29,3.0504449850741328e-05,3.1431657871904947e-05,3.0562740175843044e-05,3.163514282376626e-05
30,2.8988093347059636e-05,2.9478642760038497e-05,2.888066655618398e-05,2.9575504506045454e-05
31,1.7230426846870142e-05,1.7226838398948483e-05,1.7078831608833708e-05,1.729180642459312e-05
32,2.2579984007166536e-05,2.2516280649362547e-05,2.2698116117141847e-05,2.278360692218437e-05
33,0.00011210858648388756,0.0001121900647191295,0.00011275833040754856,0.00011296132554364717
34,0.00035602550165972737,0.0003551827866140504,0.0003571104869948725,0.00035665658644156264
35,0.0007486521788181229,0.0007445963349005444,0.0007497232294018116,0.0007467393145298843
36,0.0011599952265145532,0.001150974825988056,0.00116063463869693,0.00115350017372618
37,0.0013934124902928603,0.0013803019049246558,0.001393595373126382,0.0013827449811859033
38,0.0013246657933846313,0.0013112171058621651,0.0013247008350848516,0.0013130881197319587
39,0.0009982223995062232,0.000988868007164833,0.0009983794539494863,0.000989854707529872
40,0.000587360638540919,0.0005842954631928554,0.0005876358722267129,0.0005844203473013128
41,0.0002608110516980084,0.0002627872040586554,0.00026104164672534835,0.00026238740321671777
42,8.281326483608695e-05,8.654950405430062e-05,8.291025477903872e-05,8.605493364892102e-05
43,1.857263912985391e-05,2.143895803463388e-05,1.8571665320784707e-05,2.1102503988857113e-05
44,5.2943392646658284e-06,6.938090728494906e-06,5.228773918678081e-06,6.730708606700928e-06
45,6.64425752845675e-06,8.31588693551622e-06,6.462641444867433e-06,8.06174195155477e-06
46,1.5465163717967367e-05,1.8037918376547685e-05,1.510451750007819e-05,1.765098439244881e-05
47,2.9946840351071415e-05,3.281930249999463e-05,2.9449051337622415e-05,3.2414670248585004e-05
48,4.084569873592089e-05,4.2713166845635184e-05,4.035854658723584e-05,4.249652761868923e-05
49,3.912552520388404e-05,3.936722616946859e-05,3.87801035072623e-05,3.943151762834917e-05
50,2.6828660475051117e-05,2.575476459404573e-05,2.6629471028293103e-05,2.5997771234091806e-05
51,1.4894357584353541e-05,1.2876027457310073e-05,1.4740692254443377e-05,1.310817684517737e-05
52,1.119496414663468e-05,8.191289696439253e-06,1.1006299987242052e-05,8.301941246278009e-06
53,1.3887155765794556e-05,1.003421387029239e-05,1.3694670550236945e-05,1.0051773180553393e-05
54,1.6490355379804922e-05,1.2666773495763519e-05,1.6400784343202988e-05,1.2689140927930983e-05
55,1.599914308466347e-05,1.3299482050806454e-05,1.6082705942408225e-05,1.339905076389756e-05
56,1.4000676107380604e-05,1.2712333842587839e-05,1.423046276956298e-05,1.2904165182690136e-05
57,1.2176201872478957e-05,1.1617752060134963e-05,1.2467697147658144e-05,1.188045654624623e-05
58,1.0007429285630839e-05,9.403550568039338e-06,1.0285617395650877e-05,9.694807180551175e-06
59,6.825557034735668e-06,6.0810159856065685e-06,7.040976690275271e-06,6.333045158991717e-06
60,3.635854678123785e-06,3.181526628211995e-06,3.746426682062801e-06,3.3145895944055007e-06
61,1.932281048686405e-06,2.0578366007353125e-06,1.9121119940493053e-06,2.0304134210872405e-06
