,hh,vv,hv,vh
0,0.043590304118174494,0.04360514976083425,0.04363069447958161,0.04359740082820963
1,0.03821831717328958,0.03823081710858012,0.03825481746388674,0.038226052553972066
2,0.025524217666210918,0.025531242180526936,0.02555123140246422,0.025532923564173936
3,0.012616925176500923,0.012618478998531663,0.012633470916135286,0.012625048626424048
4,0.0043987546211033245,0.004396988957620553,0.0044072933640100075,0.004404017899288244
5,0.0010471830174798515,0.0010446558163409048,0.0010508803133805807,0.0010488693972663134
6,0.00019442982289328883,0.00019294538265104638,0.0001955908688342284,0.00019414257435769626
7,1.5995605181863558e-05,1.5818889004627573e-05,1.610217418103424e-05,1.576757626796811e-05
8,3.267858007150597e-05,3.248205510309264e-05,3.2734134610767725e-05,3.2833510689873144e-05
9,0.00020857366153730338,0.0002069415121576484,0.00020903432079067766,0.0002081684568000792
10,0.0003544354854028166,0.00035173228964497505,0.0003551478798980865,0.0003533617392357512
11,0.00031446825656949556,0.0003125881728249894,0.00031501370450104165,0.00031393823141149624
12,0.00016140385762226722,0.00016148691241877114,0.0001615563443127634,0.0001622030884080161
13,4.3276862108259384e-05,4.441310803405711e-05,4.313272805258963e-05,4.456536606524397e-05
14,6.395091424826761e-06,6.940622653163322e-06,6.180798945897873e-06,6.809655172498906e-06
15,1.4933153184189762e-05,1.443872561842519e-05,1.4806522005360783e-05,1.4284874418091507e-05
16,3.494252828264375e-05,3.423816602762548e-05,3.4964575580626725e-05,3.423306598485203e-05
17,5.237705115308538e-05,5.220262201488376e-05,5.256837310642871e-05,5.24511625741217e-05
18,5.780426386467953e-05,5.8025329144749414e-05,5.815208364564206e-05,5.854114211496695e-05
19,4.7679130464243286e-05,4.777202330550517e-05,4.810114887098767e-05,4.843191920038889e-05
20,2.9413929258995386e-05,2.9190176387495647e-05,2.977253119419019e-05,2.9781965301551395e-05
21,1.3713656673267221e-05,1.3396155990090547e-05,1.3900678762677023e-05,1.3754047262153969e-05
22,5.32952295050655e-06,5.179283486640922e-06,5.337625625675755e-06,5.2790035012748525e-06
23,2.8925818518129835e-06,2.9589909163119966e-06,2.803198190421098e-06,2.8962876075749225e-06
24,3.600792541193109e-06,3.762936284686901e-06,3.513591385943843e-06,3.665533475625231e-06
25,6.094553848539017e-06,6.2095931718782255e-06,6.0678496538409286e-06,6.169604032435281e-06
26,1.0462839241981835e-05,1.0458714082705426e-05,1.049884945132907e-05,1.0516583756203955e-05
27,1.6821656589840224e-05,1.6715840313889878e-05,1.6885962983018425e-05,1.687263866329483e-05
28,2.337218249692366e-05,2.3254693904942293e-05,2.3426059394744923e-05,2.3482831620006646e-05
29,2.5314036774512514e-05,2.5314332883323586e-05,2.53450506631917e-05,2.5560959584971588e-05
30,1.8054603326806128e-05,1.8288068326365038e-05,1.8094686322770737e-05,1.8492351479145774e-05
31,7.882216889422299e-06,8.361174114666471e-06,8.000393687142864e-06,8.509035985185981e-06
32,2.5278008986216282e-05,2.577876348389299e-05,2.553557223909843e-05,2.5977831491670214e-05
33,0.00012316274553477555,0.00012310000915732527,0.00012353996431995026,0.0001235986894033965
34,0.00034301141326565596,0.0003414727710350261,0.0003433558403013882,0.0003425446834826311
35,0.000661984183498243,0.0006580729736599467,0.0006620447610777703,0.000659792214928374
36,0.0009717013873718737,0.0009651096327187043,0.0009712576176983654,0.0009671867725605783
37,0.001130021482307546,0.0011214745825741084,0.0011290289202695195,0.0011233410506331328
38,0.0010584127578047008,0.001049609648761562,0.0010570543289135557,0.001050744595590719
39,0.0008000702483234189,0.0007930347866561032,0.0007986676025523604,0.0007932844617272048
40,0.00048385623104515025,0.0004799835737574214,0.0004827022103915099,0.0004796054617224886
41,0.00023033898662164548,0.0002296835318443665,0.00022956835963846385,0.00022910380295910153
42,8.55485168569287e-05,8.691982061696708e-05,8.51235473115797e-05,8.644500014879583e-05
43,2.6635710979920213e-05,2.859277856856571e-05,2.642743092907964e-05,2.8300929018457886e-05
44,1.0209585108924761e-05,1.2182508021389328e-05,1.0094161994786844e-05,1.2005850062346937e-05
45,9.056634303483896e-06,1.1495091122831075e-05,8.964442445731768e-06,1.1356972935130117e-05
46,1.5055949997838832e-05,1.8434540057442533e-05,1.4968558084546681e-05,1.8324784065212478e-05
47,2.4920585950858108e-05,2.8742833980372575e-05,2.4844852150233706e-05,2.8706414339362505e-05
48,3.240059163637074e-05,3.5339876889290355e-05,3.2347193163436174e-05,3.5416855891065935e-05
49,3.2246990196029544e-05,3.31679441873916e-05,3.2225680762157384e-05,3.3346414864136895e-05
50,2.5541448898824266e-05,2.4209872024474014e-05,2.5567817724181473e-05,2.4435755906595932e-05
51,1.7907557030089534e-05,1.4845107257219236e-05,1.8002926809533116e-05,1.5073348977787478e-05
52,1.3476392986017517e-05,9.492502225198036e-06,1.3651559109719059e-05,9.720752089642966e-06
53,1.2222655915793026e-05,8.172355400595942e-06,1.246234563104529e-05,8.426358811886606e-06
54,1.233831023721052e-05,8.977446182718714e-06,1.2608169085942706e-05,9.276432286974521e-06
55,1.2866222513237513e-05,1.0568236508517272e-05,1.3135261808723764e-05,1.090799316543309e-05
56,1.3388240521818804e-05,1.1970949759207396e-05,1.3639013971881899e-05,1.2325192830150154e-05
57,1.2875231437236574e-05,1.186191961945019e-05,1.3093535723226482e-05,1.2186522054519126e-05
58,1.0384312992175693e-05,9.486244248677887e-06,1.054966991082345e-05,9.73007511040716e-06
59,6.501477017253774e-06,5.80462888072386e-06,6.595699694230313e-06,5.9355494979858875e-06
60,3.0548318812184327e-06,2.773959813346953e-06,3.0782707950489753e-06,2.8030206228729307e-06
61,1.3607883682289345e-06,1.5212999746198952e-06,1.3356604350429475e-06,1.497389985547574e-06
62,1.268777699894744e-06,1.6633480905092116e-06,1.226106882224652e-06,1.6396323705742736e-06
63,1.8237937835525732e-06,2.206137934316314e-06,1.7878165681330638e-06,2.210226936271058e-06
64,2.3112416675459827e-06,2.5648499511766064e-06,2.2933598478936118e-06,2.5960909350195367e-06
65,2.5746567434213866e-06,2.7160406956572123e-06,2.5767706317188548e-06,2.7618161860397216e-06
66,2.73156612636313e-06,2.825731956581892e-06,2.7515310083638096e-06,2.8756712538269333e-06
67,2.814931950677295e-06,2.927478406439757e-06,2.84868560105085e-06,2.976791717097295e-06
68,2.6061197144337135e-06,2.799211700595188e-06,2.646858799048879e-06,2.845522358510501e-06
69,1.8329289699425865e-06,2.1288106817104535e-06,1.8720178838451383e-06,2.1688675698600693e-06
70,7.362707266206856e-07,1.037314922795719e-06,7.691804369956999e-07,1.0682707696104195e-06
71,4.7427851939997003e-07,5.410303963417917e-07,5.07827305654232e-07,5.672502233432383e-07
72,2.6208184946979818e-06,2.193670886367453e-06,2.672508978126806e-06,2.230718464176639e-06
73,7.743535538018574e-06,6.738248115010069e-06,7.828520548680253e-06,6.8025482997086435e-06
74,1.418988344458245e-05,1.2785840287942145e-05,1.4304614674523595e-05,1.2875149206877937e-05
75,1.854593161159383e-05,1.7074369315330063e-05,1.866538727972918e-05,1.7162753604838495e-05
76,1.799302935792215e-05,1.673728200700723e-05,1.8087591956449843e-05,1.679634509440278e-05
77,1.2725630552708247e-05,1.1821173408937767e-05,1.2782308495501389e-05,1.1845402708839497e-05
78,5.969160251355019e-06,5.442014743702363e-06,5.995709088814051e-06,5.4483628326418825e-06
79,1.3163034378740216e-06,1.1325974355952533e-06,1.326597845905322e-06,1.137632706006765e-06
80,3.4936671985142913e-09,5.683797266331372e-08,3.926757712994833e-09,6.219174679500413e-08
81,7.56920720409717e-07,8.896210059472297e-07,7.481718120082095e-07,8.897659773332867e-07
82,1.7962480437641901e-06,1.926774628071376e-06,1.7821110742750841e-06,1.9214189802958747e-06
83,2.4043757340342083e-06,2.6182250292205304e-06,2.392865678695656e-06,2.6120114681757363e-06
84,2.701953926673697e-06,3.126560115313238e-06,2.699137817615442e-06,3.122806960044214e-06
85,2.720862639508452e-06,3.2914841457558318e-06,2.7276278836174933e-06,3.292206215450392e-06
86,2.2425346819375363e-06,2.6779368065855316e-06,2.2562240699205817e-06,2.6859267400188562e-06
87,1.3146483278635985e-06,1.3918120034171226e-06,1.3299026510217227e-06,1.4060082507574518e-06
88,4.420699287041759e-07,2.6055540306843666e-07,4.5080919851621724e-07,2.709924735453347e-07
89,1.3576187973717553e-07,4.983385432609969e-08,1.3102848132831884e-07,4.385213727017787e-08
90,4.3242289955537953e-07,7.278145971396214e-07,4.1410491124123113e-07,7.029646685173528e-07
91,9.40989367088289e-07,1.6126272632616086e-06,9.159313413715047e-07,1.5799152884665636e-06
92,1.2751211678940737e-06,2.099237998610323e-06,1.2510388335609703e-06,2.0722565887166366e-06
93,1.3550042097732124e-06,2.1164948527896447e-06,1.3359541893406046e-06,2.0996718908823304e-06
94,1.3242526504062062e-06,1.962639011059726e-06,1.3119617289991975e-06,1.9508958565377122e-06
95,1.2966644818270271e-06,1.8887464086887274e-06,1.2934073403133015e-06,1.8758683265717322e-06
96,1.2765974582564734e-06,1.9254784807821217e-06,1.2847647274256965e-06,1.9105699364248723e-06
97,1.2931302354427266e-06,2.0163471261305847e-06,1.3127137057507319e-06,2.0032023997716454e-06
98,1.4758172757665197e-06,2.154667236855576e-06,1.5034624868240004e-06,2.1469718091593337e-06
99,1.8997893360920584e-06,2.32758309422822e-06,1.9300845537685068e-06,2.325072229345091e-06
100,2.398135915907542e-06,2.4142351090583397e-06,2.425610254634484e-06,2.4126021249319633e-06
101,2.642229054237942e-06,2.260962210765407e-06,2.6632866678139254e-06,2.255132483514322e-06
102,2.449662066721576e-06,1.8731432051091546e-06,2.4642137301798222e-06,1.8611309963244327e-06
103,1.9605193472096878e-06,1.4534862835803258e-06,1.972299378298199e-06,1.4377644135856714e-06
104,1.4779256526814147e-06,1.2051366937314315e-06,1.4926250054725604e-06,1.1907841817561457e-06
105,1.1829597691794245e-06,1.1391332994719814e-06,1.2050683144372822e-06,1.1307001948235541e-06
106,1.046142642225544e-06,1.115642256878995e-06,1.076748350649112e-06,1.1150752470156132e-06
107,9.65996327269098e-07,1.035306381821076e-06,1.0030864581063212e-06,1.0418671727066583e-06
108,9.103156046097196e-07,9.341285638056347e-07,9.509362513133274e-07,9.459045113180929e-07
109,9.144834872692751e-07,9.070823686617183e-07,9.565151174265217e-07,9.228104643517355e-07
110,9.994304745841767e-07,9.924242855697297e-07,1.0414633128441537e-06,1.0119099657296059e-06
111,1.1217469046768497e-06,1.1324864324535803e-06,1.1618984703948112e-06,1.1550361118198175e-06
112,1.187558948041768e-06,1.209168337542124e-06,1.2231799496301669e-06,1.2319421096340666e-06
113,1.1093238275138428e-06,1.1173172935456351e-06,1.1380351948318176e-06,1.136163314791837e-06
114,8.713134553824383e-07,8.430435618107213e-07,8.920370444462082e-07,8.554323448089748e-07
115,5.513530114899015e-07,4.863678934158638e-07,5.644168913076343e-07,4.930522755855496e-07
116,2.6799963780232583e-07,1.8958633882336213e-07,2.748287306786606e-07,1.9301391338798515e-07
117,9.783322412388277e-08,3.422222861256095e-08,1.0070003317940337e-07,3.590067252023433e-08
118,3.9850726567084994e-08,8.972756782221039e-09,4.118466120782127e-08,9.110540615212266e-09
119,4.5880484187710025e-08,5.832475179431322e-08,4.6960962008184e-08,5.7653749424787365e-08
