,hh,vv,hv,vh
0,0.04462454222889387,0.04465652025334118,0.04462028947521081,0.04463893430532129
1,0.039127075064313746,0.03915512232866072,0.039124653693121916,0.03914155803886933
2,0.02613271522717366,0.026151331161251606,0.02613442696452618,0.02614685415310227
3,0.01291232703804252,0.012920848036800459,0.012917527951612768,0.012924366219329214
4,0.004488246469817182,0.004489544323278629,0.00449413831777806,0.0044959214992754334
5,0.0010533343993003462,0.0010513149960805798,0.0010572838821820358,0.0010559738538480292
6,0.00018761760504485588,0.00018557329377678815,0.0001889708910504286,0.0001872326629570686
7,1.4501380018227116e-05,1.3985962249661065e-05,1.4523934872752982e-05,1.40488250185094e-05
8,3.298682582856054e-05,3.3341412563252575e-05,3.332045188972887e-05,3.363254530829083e-05
9,0.0002066593210110581,0.00020632669881914443,0.00020790506148577322,0.00020749089604300597
10,0.00035073069880343965,0.0003494672567831424,0.000352346998067192,0.00035096213039901067
11,0.00031147818376387056,0.00031067239224778347,0.00031269060540169667,0.00031173257679636783
12,0.00016051464683937208,0.00016118318805639654,0.0001610597268142587,0.00016156934564251672
13,4.347981192646399e-05,4.4873999320553895e-05,4.357172279462533e-05,4.483786647357141e-05
14,5.7397456489925226e-06,6.446810693320283e-06,5.6561926578760075e-06,6.30414539860243e-06
15,1.2690308817228944e-05,1.2412797983309333e-05,1.2554361172209867e-05,1.232914045510284e-05
16,3.188788929542512e-05,3.146752706399287e-05,3.170999376715902e-05,3.152158833568827e-05
17,4.953615381271448e-05,4.961830190890813e-05,4.929271349277753e-05,4.9849917390192326e-05
18,5.566207473050941e-05,5.602123141282855e-05,5.5332389666338027e-05,5.637954516576656e-05
19,4.6309894579973934e-05,4.642088059721203e-05,4.5913634163007384e-05,4.6766690284631666e-05
20,2.8666591286265945e-05,2.8410681715779097e-05,2.8280357498688225e-05,2.8621241046962802e-05
21,1.3212984386436964e-05,1.2873861255721694e-05,1.2925616056316196e-05,1.2927198453601966e-05
22,4.652455436636338e-06,4.498403097129495e-06,4.5012657725107705e-06,4.456278642832424e-06
23,1.860322137678705e-06,1.9140813556348887e-06,1.8155212796429618e-06,1.8527476372716187e-06
24,2.3361876576605296e-06,2.454649757110024e-06,2.3347681776599333e-06,2.418505652510864e-06
25,4.828941077744485e-06,4.869401273970956e-06,4.813335339959022e-06,4.86524894553952e-06
26,9.352587926877007e-06,9.265305168904419e-06,9.288267165946973e-06,9.275952073419733e-06
27,1.5911798228493646e-05,1.5753663371779952e-05,1.578919104767348e-05,1.575272652769467e-05
28,2.2624157219909792e-05,2.252555035414752e-05,2.2455490131196514e-05,2.2489668381012613e-05
29,2.4630073701147513e-05,2.4724917597055626e-05,2.4446121313102775e-05,2.4646710780189264e-05
30,1.7426266056920915e-05,1.7763448716019442e-05,1.727974870792917e-05,1.7669723073256137e-05
31,7.582134632520487e-06,8.054664513750684e-06,7.559858084847403e-06,8.031485401097905e-06
32,2.5274711528771892e-05,2.5581059237004605e-05,2.5500798029575896e-05,2.5799108438987344e-05
33,0.00012112590716819075,0.00012076075823338201,0.0001217330951013415,0.00012147606490301405
34,0.00033249658317631767,0.00033082299843381635,0.00033356633297617114,0.000332300712060358
35,0.0006341734509413789,0.0006306647701527119,0.0006356644296220402,0.0006329866146302353
36,0.0009215583326476843,0.0009161671552417226,0.0009232490531606309,0.0009190079029471894
37,0.0010622251481237385,0.0010556359068330562,0.0010637241557547,0.0010582485237769232
38,0.000986810939389573,0.000980333247787401,0.0009876971920734444,0.000981904844265789
39,0.000740002333897669,0.0007350896627308101,0.0007400591998052141,0.0007352617370701718
40,0.0004437039789046184,0.00044130350787802955,0.00044306895279966243,0.0004403946099567307
41,0.00020903019177437952,0.00020909743912975463,0.00020810435333570154,0.000207813891132602
42,7.651429957328627e-05,7.808063747978967e-05,7.569050451757689e-05,7.70048132366582e-05
43,2.3327692714223584e-05,2.5256940746616563e-05,2.2766918954540175e-05,2.4565327978965736e-05
44,8.788361584690081e-06,1.0689669338754671e-05,8.41053010781525e-06,1.0245311793791631e-05
45,7.949583499776931e-06,1.0319652636158858e-05,7.598541345871052e-06,9.936604955652168e-06
46,1.3653575801995009e-05,1.7004638163485426e-05,1.326136058865016e-05,1.662889626817889e-05
47,2.3038584497244427e-05,2.6952024095961987e-05,2.2653781637025668e-05,2.6660176396521995e-05
48,3.035973632075373e-05,3.3535925051235546e-05,3.005535841653509e-05,3.341469669533135e-05
49,3.07627600471949e-05,3.194965292436654e-05,3.0549848914167906e-05,3.199372304852072e-05
50,2.5227416598877192e-05,2.3986841032705793e-05,2.506453677774615e-05,2.4108420588298964e-05
51,1.8866173411155822e-05,1.5597153866357955e-05,1.8727593142727282e-05,1.571418220862192e-05
52,1.5347127690247326e-05,1.0921047682865891e-05,1.5254341562824624e-05,1.1016245724452434e-05
53,1.450062143128403e-05,9.958184558144578e-06,1.448902151199566e-05,1.0059972506917515e-05
54,1.4568238227468712e-05,1.0834965107076367e-05,1.4642433845386221e-05,1.096736807755412e-05
55,1.464510010153591e-05,1.217071993124028e-05,1.4771886592798465e-05,1.2329807068593773e-05
56,1.4405861520605054e-05,1.3005260976471677e-05,1.4538859936903155e-05,1.3166922706164483e-05
57,1.3068929141605615e-05,1.2216750026444693e-05,1.3173726876581827e-05,1.2353545218418422e-05
58,1.0001550569208162e-05,9.326099188808366e-06,1.0064746481730576e-05,9.420840098473271e-06
59,5.928214951431285e-06,5.418965834929257e-06,5.952781815044706e-06,5.470821968304386e-06
