,hh,vv,hv,vh
0,0.018742645095216552,0.021152959839086743,0.023684191654478815,0.023664337338474468
1,0.01281036162105802,0.01869855497133287,0.02081273758292037,0.02079421478828124
2,0.006569262576966217,0.012802413633602234,0.013959954357169669,0.013945004235594097
3,0.002362117607492667,0.006588125382144941,0.006857624140743529,0.0068474571534926
4,0.0005101883011257559,0.0023846420804991336,0.0022336184835497286,0.0022282663199848585
5,4.340957060936116e-05,0.0005225402893258868,0.00037379827434145754,0.0003722942259068887
6,7.346520003324854e-06,4.7539416148868254e-05,3.904422269665157e-05,3.9801127521520654e-05
7,8.75274671365749e-06,1.0122245489144699e-05,7.545660434627927e-05,7.684657604144483e-05
8,3.1613334475558404e-06,1.2026143484886133e-05,6.748785434547905e-05,6.845815022288754e-05
9,2.106496995955343e-06,5.006632641195533e-06,3.1402030840287947e-05,3.172005260964605e-05
10,2.8795149176650733e-06,2.136372734858494e-06,1.3771301014291158e-05,1.3722282471680586e-05
11,7.788691710734185e-06,2.6517777075060817e-06,6.063930265248891e-06,5.957541112739289e-06
12,1.7241845390719478e-05,7.813525744897614e-06,6.414654819949789e-07,5.964386696098955e-07
13,2.2689050852035594e-05,1.637161957295594e-05,1.5643489122241833e-06,1.603907842970237e-06
14,1.897601455755979e-05,2.0184503684712342e-05,6.919115442292957e-06,7.075155569428539e-06
15,1.0558557338133062e-05,1.564155601152156e-05,1.0454272612007802e-05,1.0732761871230954e-05
16,4.0112940026364174e-06,7.798415368802395e-06,1.014868231357853e-05,1.0481011141743285e-05
17,1.724498067530085e-06,2.523310807846382e-06,7.746130627552534e-06,8.033574533124242e-06
18,2.053307367876382e-06,1.1139059140741568e-06,5.479325115521842e-06,5.66829479220852e-06
19,2.0674890276155924e-06,1.3850503722027728e-06,4.779501205979636e-06,4.8799085273053695e-06
20,7.774908923123006e-07,9.40508264929746e-07,5.480653004059487e-06,5.535091753459394e-06
21,1.3633046883899244e-08,5.015939118339403e-08,6.112312523869549e-06,6.1632768931869426e-06
22,1.3405327315265978e-06,1.248732706343772e-06,5.562391146024921e-06,5.6331391362849554e-06
23,3.598012828020752e-06,5.317871170586438e-06,3.994144611245502e-06,4.081377239148358e-06
24,4.932891423983861e-06,9.456184986568599e-06,2.3284767214177172e-06,2.412026117548666e-06
25,5.528100738095849e-06,1.0822274530506468e-05,1.3858282519656157e-06,1.4527424791002912e-06
26,6.600401088803982e-06,9.987210336413283e-06,1.295409269007544e-06,1.356544269480392e-06
27,7.974595207359928e-06,9.339732061879137e-06,1.4715237246386308e-06,1.550882360673568e-06
28,8.27642235252227e-06,9.641804805124273e-06,1.3073474593838966e-06,1.4131581166442736e-06
29,6.913326624699441e-06,9.730518462873977e-06,7.970013942711023e-07,9.068685348821098e-07
30,4.712987838687606e-06,8.673292036418465e-06,3.197475570570988e-07,3.987708186999166e-07
31,2.879721007411871e-06,6.820974779668841e-06,8.408761471274114e-08,1.1661975133150379e-07
32,2.0627090863109758e-06,5.051827693678645e-06,1.934070313550985e-08,1.9859759363940477e-08
33,2.2457651436737474e-06,3.950604732491697e-06,1.5808095241198107e-08,1.2115404101899325e-08
34,2.900461858915773e-06,3.6908186409745162e-06,6.512417726945814e-08,7.644802385590522e-08
35,3.2279566753969543e-06,4.020724257541497e-06,2.4167641851911114e-07,2.627289221407809e-07
