,hh,vv,hv,vh
0,0.04030765217767433,0.04033856537007848,0.040370075797407715,0.040346061852368276
1,0.0353974376710674,0.035427559372902276,0.03545173854994453,0.03543409205537734
2,0.023777773885424864,0.023803879303145415,0.023812804317478776,0.023808177508249154
3,0.01191607542647862,0.011933402568505391,0.011931483879086314,0.011935509308923831
4,0.004288124902267902,0.004294933035207468,0.004291382120785376,0.00429569718303781
5,0.0010927412788393112,0.001092680985738718,0.001091899104272355,0.0010928774492268882
6,0.00021738472822740187,0.00021589089632204514,0.00021656297071550044,0.00021588601397012352
7,1.719858810132513e-05,1.6749289035307256e-05,1.703064077720915e-05,1.6711452331187456e-05
8,3.340207997755246e-05,3.341841396950591e-05,3.352883852352905e-05,3.351268342316404e-05
9,0.0001974113356892647,0.00019739159039871055,0.0001978179151928314,0.00019771295056649347
10,0.00032156934445680684,0.00032235008791542066,0.0003223685554984581,0.0003228133582867552
11,0.00027379872508745406,0.00027597390723858986,0.00027478237480799427,0.00027637622574019325
12,0.00013271779366688603,0.00013545827082361386,0.0001334698085853284,0.00013565447555587457
13,3.2465520813815125e-05,3.444944672832312e-05,3.274959601675896e-05,3.4449757204490124e-05
14,7.910191580516954e-06,8.678164334998101e-06,7.810001550340597e-06,8.586099575621115e-06
15,2.3146594120089668e-05,2.3148409370292902e-05,2.2888130637083597e-05,2.303445475606541e-05
16,4.703998353949747e-05,4.682089476061528e-05,4.677900593321723e-05,4.6677951758179525e-05
17,6.468595489321105e-05,6.442351643280371e-05,6.446218630713206e-05,6.422869922468566e-05
18,6.555795752532197e-05,6.519889873135814e-05,6.536228498560064e-05,6.497488119897561e-05
19,4.90936209454269e-05,4.862025680405557e-05,4.891633349696044e-05,4.841722019072615e-05
20,2.7342551474534204e-05,2.6866515435188498e-05,2.7176284499676e-05,2.6708764527756775e-05
21,1.2361502426933183e-05,1.2060474606405012e-05,1.2202885058387076e-05,1.1934962755881875e-05
22,6.446403097729191e-06,6.4412571482968914e-06,6.304735312655135e-06,6.329004340100712e-06
23,5.408481400294256e-06,5.681100531745107e-06,5.299862168218563e-06,5.580993893660782e-06
24,5.674937031269321e-06,6.101305564736467e-06,5.606114225427557e-06,6.025080882428633e-06
25,6.644720257841191e-06,7.123582846852209e-06,6.609715541975736e-06,7.082530523286866e-06
26,9.369447854878992e-06,9.935621370802108e-06,9.36175717787893e-06,9.93852627935911e-06
27,1.5037014445792227e-05,1.582930879795e-05,1.5054578776046865e-05,1.588364314499988e-05
28,2.34603969217104e-05,2.4508096555866194e-05,2.3484853687315477e-05,2.460588255957295e-05
29,3.057409222218319e-05,3.159929268769375e-05,3.055012279968681e-05,3.169912139136999e-05
30,2.84562392078434e-05,2.9031546491444437e-05,2.8332641545234064e-05,2.9081463633356226e-05
31,1.632152155810159e-05,1.6376088696552965e-05,1.6147507023869558e-05,1.638113322100109e-05
32,2.2438627184155452e-05,2.2465055574885716e-05,2.2369805942473304e-05,2.250693335589394e-05
33,0.00011279306796069967,0.00011313872983635589,0.00011288563995050544,0.00011326054567193031
34,0.00035340956952263126,0.0003531506674260633,0.000353366077450231,0.0003531945339516352
35,0.0007344467773256896,0.0007313079262800311,0.0007336801151021016,0.0007309288364175682
36,0.0011272582140383234,0.0011192907759453108,0.001125370002607514,0.0011182241236270397
37,0.0013435441318610183,0.0013312795321476808,0.0013407903879314284,0.0013296302030745167
38,0.0012686871160095085,0.001255569023031553,0.0012659073769187494,0.001253808771940317
39,0.0009501865152598852,0.0009405451848416276,0.0009482111832457505,0.0009391926925458365
40,0.0005557104877048549,0.0005518958227472993,0.0005548127403006154,0.0005511809270570061
41,0.000245093648058592,0.00024617682160978224,0.0002449634661888163,0.00024597856507518423
42,7.712998882632125e-05,8.013493381623353e-05,7.72748883295906e-05,8.018048203921637e-05
43,1.702868332682662e-05,1.9454655855014693e-05,1.7143692848009164e-05,1.954181566558381e-05
44,4.670411931080023e-06,6.079651304227266e-06,4.6961475750080495e-06,6.146778330815017e-06
45,5.7927017961029185e-06,7.26502974655487e-06,5.762956351520449e-06,7.329807937457859e-06
46,1.392422340860752e-05,1.6270408166647035e-05,1.3845921456131794e-05,1.635436939735841e-05
47,2.7581635663628345e-05,3.030764995483559e-05,2.744229976353408e-05,3.0411913195611747e-05
48,3.814040923798635e-05,4.007305802375401e-05,3.7961471825935484e-05,4.019004719170112e-05
49,3.698906260972344e-05,3.74803687978177e-05,3.6825215127482926e-05,3.7603834785804575e-05
50,2.5814417589897517e-05,2.499762884261395e-05,2.5698891226639783e-05,2.5118035231925873e-05
51,1.4760454985034025e-05,1.2870868454831883e-05,1.4670296232343163e-05,1.2969454712016606e-05
52,1.1345949102795732e-05,8.375532639671217e-06,1.1233372725839978e-05,8.432568332929341e-06
53,1.4091099990989507e-05,1.0287619941235616e-05,1.3943465263342175e-05,1.0300101405024598e-05
54,1.6973220990462656e-05,1.323643960395685e-05,1.682936575826996e-05,1.322299274656735e-05
55,1.6919537592662882e-05,1.4255553727050128e-05,1.682575304088848e-05,1.4238235004359329e-05
56,1.5092303182957949e-05,1.3729306370541602e-05,1.505469144004101e-05,1.3712275708922595e-05
57,1.2991623794632981e-05,1.2310942530177697e-05,1.297893824809143e-05,1.2282361876687653e-05
58,1.0350492604496178e-05,9.686616248372749e-06,1.033322490772836e-05,9.64051434221982e-06
59,6.8221030649888e-06,6.105855829868155e-06,6.795291536548985e-06,6.055626143492817e-06
60,3.4813653484460928e-06,3.0675856948598855e-06,3.453035854759197e-06,3.0359449881269492e-06
61,1.7185436472809009e-06,1.816597852136532e-06,1.6917986594541466e-06,1.816550800266577e-06
