,hh,vv,hv,vh
0,0.018964956351356577,0.021747911640492418,0.02338138579536687,0.02337143860044457
1,0.012711208600289375,0.019131174214597375,0.020542087873830037,0.020533544640862746
2,0.006243910865848524,0.012881675837088786,0.0137676122396168,0.013762431287267302
3,0.002043832127303446,0.00638999956865139,0.006750821074246191,0.00674912318769721
4,0.0003525524325977842,0.0021364486346407267,0.0021895854736921016,0.0021900852140464967
5,3.553725620821287e-05,0.00039008879741484734,0.00036319610499690005,0.0003644127397137306
6,5.5269093285678175e-05,4.1270066815743506e-05,4.1482193629374945e-05,4.256876035766162e-05
7,4.581895314417763e-05,5.2915298268191684e-05,8.098070291625667e-05,8.171991506660141e-05
8,1.948136214906603e-05,4.432978887269075e-05,7.223514933400214e-05,7.265928374388513e-05
9,9.501115813721155e-06,1.8061087130907123e-05,3.4451182856188686e-05,3.462726536690048e-05
10,4.926909486103486e-06,7.748861254597209e-06,1.5516265679864232e-05,1.5536621017121985e-05
11,1.276874369997176e-06,4.395109905237166e-06,6.969273828387419e-06,6.9420868318837994e-06
12,3.669432956141015e-06,1.7756343022371285e-06,8.276038336261642e-07,8.247556331084974e-07
13,9.471373573489896e-06,2.9490176473127434e-06,1.2802990996071467e-06,1.3198198740195063e-06
14,1.2638155121447617e-05,6.3761095535420436e-06,6.793335835858563e-06,6.8636959859566316e-06
15,1.2037867179396288e-05,8.391907430235314e-06,1.1034543388097711e-05,1.1122931583953661e-05
16,9.51852323080317e-06,8.432659326180561e-06,1.1438391660049815e-05,1.1550864920696e-05
17,6.833702605625423e-06,7.268209018573131e-06,9.323668789453912e-06,9.47972296579408e-06
18,5.46717482105915e-06,5.774041176008178e-06,6.958001108151585e-06,7.151440322487555e-06
19,5.861570808629348e-06,5.214747718040162e-06,6.105333660567495e-06,6.287459379681841e-06
20,6.819824934513678e-06,5.991319556038097e-06,6.862595528257663e-06,6.993228403367045e-06
21,6.8532824137186945e-06,7.1725861281707595e-06,7.714343625058398e-06,7.814079297828527e-06
22,5.677892204505004e-06,7.886323095857281e-06,7.271355546885443e-06,7.386452496370751e-06
23,4.218683801305292e-06,7.866842415632976e-06,5.498957384092226e-06,5.620307470132027e-06
24,3.5876086458087882e-06,6.927218610001772e-06,3.409543120962152e-06,3.4637500748298133e-06
25,3.990883013880745e-06,5.162548553087907e-06,2.086748111755187e-06,2.018237995338998e-06
26,4.530254384242318e-06,3.329251663844112e-06,1.8191282905674718e-06,1.6611695650168307e-06
27,4.2349173605532465e-06,2.194458329312772e-06,1.9641434362173605e-06,1.817100034053257e-06
28,3.1050151997048408e-06,1.7883682982228513e-06,1.7650590807974445e-06,1.7112055610555232e-06
